430: {{1,3},{1,-2},{1,0},{0,1},{-3,1},{3,1}}
432: {{-1,0},{2,1},{1,-1},{1,1},{2,-1},{1,2}}
440: {{0,1},{1,0},{-3,1},{-1,3},{1,-2},{1,2}}
442: {{1,2},{-3,-1},{-2,1},{3,-1},{3,2},{-1,1}}
444: {{-2,-1},{1,2},{-1,1},{2,-1},{0,1},{2,3}}
446: {{-3,-1},{1,3},{2,1},{-3,2},{2,-1},{0,1}}
448: {{1,-3},{1,1},{1,3},{-2,1},{2,1},{1,0}}
450: {{2,1},{3,-1},{-1,2},{1,1},{1,0},{-1,-2}}
452: {{3,-1},{3,2},{-2,1},{1,1},{2,1},{-1,-2}}
456: {{1,3},{-1,1},{-1,-1},{0,1},{1,2},{3,-1}}
480: {{1,-2},{1,1},{-1,3},{1,0},{1,2},{0,-2}}
484: {{2,-1},{1,3},{0,2},{-1,1},{-1,-1},{1,2}}
488: {{1,3},{1,2},{1,-2},{2,1},{-2,1},{0,1}}
492: {{2,1},{0,1},{1,2},{-1,0},{1,1},{1,-3}}
528: {{1,2},{2,-1},{0,1},{-1,0},{-1,2},{1,1}}
720: {{-1,1},{0,1},{2,-1},{1,1},{1,0},{2,1}}
